data,направление,специальность,green,yellow,red,black,year,month
1/1/2016,взрослые,Стоматолог,4818,1001,1173,1110,2016,1
1/1/2016,взрослые,Онколог,39884,7168,12175,562,2016,1
1/1/2016,взрослые,Терапевт,1007572,101215,25279,252,2016,1
1/1/2016,взрослые,Оториноларинголог,135448,6829,3591,240,2016,1
1/1/2016,взрослые,Гинеколог,313794,14573,10863,209,2016,1
1/1/2016,взрослые,Гематолог,4023,1058,2111,145,2016,1
1/1/2016,взрослые,Гастроэнтеролог,24688,4125,6984,135,2016,1
1/1/2016,взрослые,Хирург,212015,3775,1973,90,2016,1
1/1/2016,взрослые,Ревматолог,20101,2325,2389,66,2016,1
1/1/2016,взрослые,Иммунолог,10870,949,1092,59,2016,1
1/1/2016,взрослые,Эндокринолог,159320,14579,23548,40,2016,1
1/1/2016,взрослые,Пульмонолог,12030,2151,2693,39,2016,1
1/1/2016,взрослые,Психиатр,915,111,223,25,2016,1
1/1/2016,взрослые,Нефролог,3436,319,458,23,2016,1
1/1/2016,взрослые,Инфекционист,32333,1135,1059,13,2016,1
1/1/2016,взрослые,Колопроктолог,11247,1714,1931,11,2016,1
1/1/2016,взрослые,Офтальмолог,185861,5836,3915,10,2016,1
1/1/2016,взрослые,Кардиолог,110374,10896,15123,9,2016,1
1/1/2016,взрослые,Невролог,201287,29365,37104,5,2016,1
1/1/2016,взрослые,Уролог,122077,2596,1649,1,2016,1
1/1/2016,взрослые,Колопроктолог,2,0,0,0,2016,1
1/1/2016,детские,Стоматолог,12666,970,2456,954,2016,1
1/1/2016,детские,Педиатр,610802,94726,34206,299,2016,1
1/1/2016,детские,Уролог-андролог,2924,340,277,137,2016,1
1/1/2016,детские,Хирург,69799,1115,782,114,2016,1
1/1/2016,детские,Гинеколог,18086,440,428,91,2016,1
1/1/2016,детские,Оториноларинголог,104250,5189,3825,55,2016,1
1/1/2016,детские,Нефролог,11298,775,1130,31,2016,1
1/1/2016,детские,Иммунолог,21556,2756,3623,28,2016,1
1/1/2016,детские,Эндокринолог,21470,1895,2201,28,2016,1
1/1/2016,детские,Гастроэнтеролог,19235,1769,1944,16,2016,1
1/1/2016,детские,Кардиолог,27192,3031,3024,14,2016,1
1/1/2016,детские,Ревматолог,490,51,22,6,2016,1
1/1/2016,детские,Пульмонолог,543,60,41,5,2016,1
1/1/2016,детские,Невролог,105710,13413,16452,3,2016,1
1/1/2016,детские,Гематолог,1568,178,170,2,2016,1
1/1/2016,детские,Онколог,433,24,44,1,2016,1
1/1/2016,детские,Инфекционист,253,17,6,0,2016,1
1/1/2016,детские,Офтальмолог,93088,1547,1376,0,2016,1
1/1/2016,детские,Психиатр,226,27,2,0,2016,1
2/1/2016,взрослые,Стоматолог,1139,187,328,397,2016,2
2/1/2016,взрослые,Онколог,13848,2079,4517,160,2016,2
2/1/2016,взрослые,Гинеколог,76422,670,1104,103,2016,2
2/1/2016,взрослые,Терапевт,248701,18435,4215,80,2016,2
2/1/2016,взрослые,Гематолог,1467,365,502,62,2016,2
2/1/2016,взрослые,Гастроэнтеролог,7166,1079,1869,48,2016,2
2/1/2016,взрослые,Оториноларинголог,31065,1307,1059,37,2016,2
2/1/2016,взрослые,Инфекционист,10502,431,319,29,2016,2
2/1/2016,взрослые,Ревматолог,6194,489,803,26,2016,2
2/1/2016,взрослые,Хирург,52966,37,129,21,2016,2
2/1/2016,взрослые,Офтальмолог,44763,399,496,18,2016,2
2/1/2016,взрослые,Пульмонолог,4411,457,903,14,2016,2
2/1/2016,взрослые,Иммунолог,3505,445,419,12,2016,2
